branch_id_1	branch_id_2	omegaCany2spe_iqtree2	omegaCany2spe_iqtree3
1	36	0.0876	0.0876
1	37	2.7783	2.7785
1	38	1.7536	1.7537
1	40	0.0076	0.0076
1	41	0.0003	0.0003
1	42	0.0887	0.0887
1	43	0.0094	0.0094
1	44	0.2663	0.2664
1	45	12.6834	12.6831
1	46	0.4159	0.4159
1	47	0.0006	0.0006
1	48	0.0024	0.0024
1	49	4.4974	4.4983
1	50	0.1893	0.1893
1	51	0.1676	0.1677
1	52	5.3056	5.3069
1	53	0.2272	0.2273
1	54	0.0568	0.0568
1	55	14.8457	14.8466
1	56	0.3267	0.3267
1	57	0.0028	0.0028
1	58	0.0579	0.0579
1	59	0.5152	0.5152
1	60	0.5417	0.5417
1	61	0.0283	0.0283
1	62	0.5738	0.5739
2	3	0.0	0.0
2	4	0.0	0.0
2	5	0.0075	0.0075
2	6	0.0924	0.0924
2	7	0.0007	0.0007
2	8	0.0123	0.0123
2	9	0.0005	0.0005
2	10	0.8174	0.8177
2	11	0.1166	0.1166
2	12	737.283	737.6795
2	13	0.0	0.0
2	14	0.0801	0.0801
2	15	0.1666	0.1667
2	16	0.3047	0.3047
2	17	0.0	0.0
2	18	0.0	0.0
2	19	0.1722	0.1722
2	20	0.0	0.0
2	21	0.0	0.0
2	22	1.3561	1.3567
2	23	0.0237	0.0237
2	24	0.0	0.0
2	25	0.0	0.0
2	26	0.0013	0.0013
2	27	1.9534	1.9541
2	28	0.1553	0.1554
2	29	0.0	0.0
2	30	0.0165	0.0165
2	31	0.0228	0.0228
2	32	48.7194	48.7456
2	33		
2	34		
2	35	0.1571	0.1571
2	36	0.1106	0.1107
2	37	0.0095	0.0095
2	38	0.0035	0.0035
2	40	0.0092	0.0092
2	43	2.6277	2.6296
2	44	0.0024	0.0024
2	45	0.5803	0.5803
2	46	0.7989	0.799
2	47	0.0088	0.0088
2	48	0.0011	0.0011
2	49	18.711	18.7182
2	50	1.5492	1.5494
2	51	0.0922	0.0922
2	52	0.1548	0.1549
2	61	0.0023	0.0023
2	62	0.0202	0.0202
3	4	0.0	0.0
3	5	0.0	0.0
3	6	0.0	0.0
3	7	0.0	0.0
3	8	0.0034	0.0034
3	9	0.0	0.0
3	10	0.0	0.0
3	11	0.0034	0.0034
3	12	0.3214	0.3215
3	13	0.0	0.0
3	14	0.0	0.0
3	15	0.0	0.0
3	16	0.0	0.0
3	17	0.0	0.0
3	20	0.0086	0.0086
3	21	3.8702	3.8728
3	22	0.0004	0.0004
3	23	0.6166	0.6167
3	24	2.1776	2.1786
3	25	2.5837	2.5845
3	26	0.0135	0.0135
3	27	2.6021	2.6029
3	28	16.4137	16.4195
3	29	5.7998	5.8003
3	30	0.0	0.0
3	31	3.4726	3.4726
3	32	0.0	0.0
3	33		
3	34		
3	35	0.0	0.0
3	36	0.0	0.0
3	37	0.4858	0.486
3	38	0.0408	0.0408
3	40	0.0	0.0
3	41	0.0	0.0
3	42	0.0	0.0
3	43	0.0	0.0
3	44	0.1657	0.1657
3	45	0.0841	0.0841
3	46	0.0042	0.0042
3	47	0.0	0.0
3	48	0.0	0.0
3	49	0.0	0.0
3	50	0.0011	0.0011
3	51	0.0001	0.0001
3	52	0.0	0.0
3	53	0.0	0.0
3	54	0.0	0.0
3	55	0.0	0.0
3	56	0.0002	0.0002
3	61	0.0	0.0
3	62	0.0092	0.0092
4	5	0.0008	0.0008
4	6	0.0001	0.0001
4	7	0.0003	0.0003
4	8	0.412	0.412
4	9	0.002	0.002
4	10	0.1881	0.1882
4	11	0.1553	0.1553
4	12	0.0001	0.0001
4	13	0.024	0.024
4	14	498.0513	498.0355
4	17	0.0	0.0
4	18	0.0	0.0
4	19	0.0	0.0
4	20	1.7741	1.7744
4	21	0.0	0.0
4	22	0.0023	0.0023
4	23	0.0012	0.0012
4	24	0.0	0.0
4	25	0.0618	0.0618
4	26	0.4661	0.4662
4	27	4.1019	4.1019
4	28	0.3251	0.3251
4	29	53.3097	53.3123
4	30	0.0005	0.0005
4	31	0.0027	0.0027
4	32	0.0015	0.0015
4	33	0.0	0.0
4	34	0.0	0.0
4	35	0.0	0.0
4	36	0.0001	0.0001
4	37	0.0012	0.0012
4	38	0.0042	0.0042
4	40	0.2441	0.2441
4	41	0.0	0.0
4	42	0.0	0.0
4	43	0.0207	0.0207
4	44	0.0174	0.0174
4	45	0.101	0.101
4	47	0.0	0.0
4	48	0.0003	0.0003
4	49	0.0035	0.0035
4	50	0.0215	0.0215
4	52	0.0	0.0
4	53	0.0023	0.0023
4	54	0.0025	0.0025
4	55	0.0	0.0
4	56	0.0	0.0
4	57	0.0024	0.0024
4	58	0.0755	0.0755
4	61	0.1182	0.1182
4	62	0.3405	0.3405
5	6	0.0087	0.0087
5	7	0.0035	0.0035
5	8	0.0915	0.0915
5	9	0.0016	0.0016
5	10	2.019	2.0192
5	11	0.7652	0.7654
5	12	0.0112	0.0112
5	13	0.0	0.0
5	14	0.0	0.0
5	15	0.0126	0.0126
5	16	0.006	0.006
5	17	0.0	0.0
5	18	0.0	0.0
5	19	0.0002	0.0002
5	20	41300.4007	41320.1441
5	21	0.0	0.0
5	22	19.1427	19.1486
5	23	0.9645	0.9645
5	24	0.0	0.0
5	25	0.0284	0.0284
5	26	1.1023	1.1029
5	27	0.0361	0.0361
5	28	1.4138	1.4142
5	29	0.0002	0.0002
5	30	0.0	0.0
5	31	3.135	3.136
5	32	0.0014	0.0014
5	33	0.0	0.0
5	34	0.0	0.0
5	35	0.8164	0.8166
5	36	0.0006	0.0006
5	37	1.0403	1.0406
5	38	0.1816	0.1816
5	40	0.0014	0.0014
5	41	0.269	0.2692
5	42	0.328	0.328
5	43	2.3146	2.3145
5	44	0.084	0.084
5	45	0.0049	0.0049
5	46	1.7506	1.7507
5	47	0.126	0.1261
5	48	0.0007	0.0007
5	49	0.0008	0.0008
5	50	0.0384	0.0384
5	51	0.5462	0.5463
5	52	0.6078	0.6078
5	61	2.556	2.5569
5	62	0.2379	0.238
6	7	0.0006	0.0006
6	8	1.1062	1.1065
6	9	0.2517	0.2518
6	10	0.3906	0.3907
6	11	0.7291	0.7293
6	12	0.4269	0.4272
6	13	2.0927	2.0928
6	14	3.5906	3.5908
6	15	35.1358	35.1317
6	16	0.0999	0.0999
6	17	0.0	0.0
6	18	0.0	0.0
6	19	0.0001	0.0001
6	20	0.1621	0.1622
6	21	0.0	0.0
6	22	2499.6941	2500.6402
6	23	0.5323	0.5324
6	24	0.0	0.0
6	25	0.0295	0.0295
6	26	0.1298	0.1299
6	27	0.2298	0.2299
6	28	0.5797	0.5799
6	29	0.0004	0.0004
6	30	214.3477	214.3697
6	31	2.6397	2.6407
6	32	0.0698	0.0699
6	33		
6	34		
6	35	6.4019	6.4028
6	36	0.0015	0.0015
6	37	0.9913	0.9916
6	38	1.4251	1.4255
6	40	4.6481	4.6494
6	41	0.4422	0.4424
6	42	7.6407	7.6427
6	43	5.333	5.3342
6	44	0.5576	0.5577
6	45	0.5537	0.5538
6	46	0.2578	0.2578
6	47	2.9379	2.9373
6	48	0.6206	0.6205
6	49	0.0009	0.0009
6	50	0.2032	0.2032
6	51	1.3136	1.3138
6	52	0.0409	0.0409
6	53	0.5725	0.5726
6	61	0.963	0.9632
6	62	1.2426	1.243
7	9	2.8867	2.8871
7	10	0.1896	0.1897
7	11	1.3036	1.3038
7	12	0.4537	0.4539
7	13	0.0275	0.0275
7	14	0.001	0.001
7	15	0.032	0.032
7	16	0.5869	0.587
7	17	0.0	0.0
7	18	0.0252	0.0252
7	19	0.0043	0.0043
7	20	9.2123	9.2157
7	21	0.0	0.0
7	22	0.03	0.03
7	23	1.0056	1.0059
7	24	0.7041	0.7043
7	25	0.0035	0.0035
7	26	1.2606	1.2611
7	27	5.3779	5.3787
7	28	1.0585	1.0587
7	29	2.3399	2.3403
7	30	0.0015	0.0015
7	31	0.0009	0.0009
7	32	0.0977	0.0977
7	33	inf	inf
7	34	0.0	0.0
7	35	0.0535	0.0535
7	36	5.4756	5.4762
7	37	1.027	1.027
7	38	0.9254	0.9255
7	40	0.0026	0.0026
7	41	0.0	0.0
7	42	0.0397	0.0397
7	43	0.0212	0.0212
7	44	0.5641	0.5642
7	45	0.1945	0.1945
7	46	0.334	0.334
7	47	1.1663	1.1663
7	48	0.5602	0.5603
7	49	3.9565	3.9573
7	50	0.1771	0.1771
7	51	0.1852	0.1852
7	52	0.7772	0.7773
7	53	0.6037	0.6038
7	54	1.6486	1.6487
7	55	2.1884	2.1885
7	56	3.204	3.2041
7	57	2.5359	2.5359
7	58	0.3809	0.381
7	59	0.4628	0.4629
7	60	3.2839	3.2844
7	61	0.5753	0.5754
7	62	1.3433	1.3435
8	9	2.8273	2.8276
8	10	0.8066	0.8067
8	11	1.3977	1.3978
8	12	0.2565	0.2566
8	13	0.0287	0.0287
8	14	0.0378	0.0378
8	15	0.0204	0.0204
8	16	2.4042	2.4043
8	17	0.0003	0.0003
8	18	0.1889	0.1889
8	19	0.0702	0.0702
8	20	0.885	0.8852
8	21	0.005	0.005
8	22	0.8332	0.8333
8	23	0.3559	0.356
8	24	0.7026	0.7028
8	25	0.0581	0.0581
8	26	0.6156	0.6158
8	27	2.6069	2.6072
8	28	1.3108	1.3109
8	29	1.5132	1.5135
8	30	1.1123	1.1123
8	31	1.7894	1.7896
8	32	0.897	0.8971
8	33	1.3062	1.3064
8	34	0.0031	0.0031
8	35	0.6587	0.6588
8	36	0.9919	0.992
8	37	0.9479	0.9479
8	40	0.542	0.5421
8	41	0.0009	0.0009
8	42	0.3007	0.3008
8	43	0.1464	0.1464
8	44	3.7748	3.7753
8	45	0.8693	0.8692
8	46	3.1021	3.1024
8	47	0.9469	0.947
8	48	0.6983	0.6985
8	49	0.3518	0.3519
8	50	0.3832	0.3832
8	51	0.6632	0.6634
8	52	0.9844	0.9847
8	53	4.8479	4.8488
8	54	0.9587	0.9589
8	55	7.5745	7.5758
8	56	4.1376	4.138
8	57	2.1991	2.1993
8	58	0.5549	0.5549
8	59	1.8308	1.8309
8	60	1.5346	1.5347
8	61	0.8981	0.8983
8	62	0.9925	0.9926
9	10	1.3023	1.3027
9	11	1.0989	1.0992
9	12	0.023	0.023
9	13	0.0006	0.0006
9	14	0.0	0.0
9	15	0.0112	0.0112
9	16	0.7935	0.7936
9	17	0.0	0.0
9	18	0.0022	0.0022
9	19	0.0001	0.0001
9	20	0.0027	0.0027
9	21	0.0	0.0
9	22	0.011	0.011
9	23	0.8028	0.803
9	24	0.9832	0.9836
9	25	0.0005	0.0005
9	26	0.0504	0.0504
9	27	1.1285	1.1287
9	28	1.3917	1.392
9	29	0.678	0.6782
9	30	0.0564	0.0564
9	31	0.8236	0.8237
9	32	3.6985	3.6991
9	33		
9	34	0.0	0.0
9	35	0.0113	0.0113
9	36	1.2164	1.2166
9	40	0.165	0.165
9	41	0.0	0.0
9	42	0.0061	0.0061
9	43	0.0039	0.0039
9	44	0.0231	0.0231
9	45	0.8317	0.8317
9	46	4.8234	4.8242
9	47	0.0052	0.0052
9	48	3.3456	3.3467
9	49	2.251	2.2516
9	50	4.647	4.6478
9	51	1.8042	1.8048
9	52	0.0083	0.0083
9	53	0.0085	0.0085
9	54	0.0711	0.0711
9	55	0.5823	0.5825
9	56	0.1302	0.1303
9	57	0.0258	0.0258
9	58	0.1788	0.1788
9	59	3.8387	3.8394
9	60	3.4082	3.4089
9	61	3.5811	3.5822
9	62	2.2593	2.2597
10	12	0.0006	0.0006
10	13	352.2484	352.2526
10	14	0.0	0.0
10	15	0.3753	0.3753
10	16	1.8301	1.8302
10	17	0.0	0.0
10	18	0.0184	0.0184
10	19	0.0084	0.0084
10	20	0.6814	0.6816
10	21	0.0	0.0
10	22	2.4103	2.4109
10	23	2.1581	2.1587
10	24	17.2794	17.2869
10	25	0.0105	0.0105
10	26	0.1351	0.1352
10	27	0.2588	0.2588
10	28	2.3254	2.3258
10	29	1.2885	1.2888
10	30	0.0661	0.0661
10	31	1.7024	1.7028
10	32	0.137	0.137
10	33	0.0	0.0
10	34	0.0	0.0
10	35	7.1792	7.1818
10	36	0.728	0.7282
10	37	0.6124	0.6125
10	38	0.6451	0.6452
10	40	0.4514	0.4515
10	41	0.0176	0.0176
10	42	1.5374	1.5378
10	43	4.9253	4.9262
10	44	2.3178	2.3182
10	45	0.2404	0.2404
10	46	0.0471	0.0471
10	47	0.0123	0.0123
10	48	0.0099	0.0099
10	49	0.3061	0.3061
10	50	0.0785	0.0785
10	51	1.7299	1.7304
10	52	0.0181	0.0181
10	53	3.8985	3.8992
10	54	3.7972	3.798
10	55	21.8535	21.8613
10	56	6.4225	6.4252
10	57	23.5652	23.5673
10	58	1.8307	1.831
10	59	1.1424	1.1425
10	60	1.0228	1.0229
10	61	2.5224	2.5227
11	12	0.1244	0.1244
11	13	10.0398	10.0392
11	14	3.0771	3.0768
11	15	0.4731	0.4731
11	16	4.1097	4.1098
11	17	0.0021	0.0021
11	18	0.2209	0.2209
11	19	0.1311	0.1311
11	20	0.1243	0.1243
11	21	0.0226	0.0226
11	22	3.5281	3.5287
11	23	1.7906	1.791
11	24	0.2943	0.2944
11	25	0.1297	0.1297
11	26	0.2299	0.23
11	27	0.2781	0.2781
11	28	0.753	0.7531
11	29	0.2648	0.2648
11	30	0.5151	0.5152
11	31	1.5113	1.5116
11	32	0.4729	0.4729
11	33	2.0965	2.0967
11	34	0.0012	0.0012
11	35	4.3078	4.3092
11	36	4.997	4.998
11	37	1.1443	1.1444
11	38	0.7274	0.7275
11	40	0.8085	0.8086
11	41	0.0035	0.0035
11	42	1.0216	1.0219
11	43	0.9963	0.9964
11	44	0.4222	0.4222
11	45	0.4393	0.4393
11	46	0.4487	0.4487
11	47	0.0529	0.0529
11	48	0.507	0.5071
11	49	0.3816	0.3817
11	50	0.1837	0.1837
11	51	1.3943	1.3946
11	52	1.1802	1.1805
11	53	5.0647	5.0654
11	54	0.3664	0.3664
11	55	6.7354	6.7373
11	56	1.8199	1.8205
11	57	1.8949	1.895
11	58	1.1466	1.1467
11	59	2.2452	2.2453
11	60	0.8853	0.8853
12	13	0.0	0.0
12	14	0.0	0.0
12	15	0.0	0.0
12	16	0.1638	0.1638
12	20	0.0	0.0
12	21	418.4725	418.6789
12	22	0.0	0.0
12	23	344.765	344.8902
12	24	25.628	25.6387
12	25	244.7046	244.7904
12	26	69.0891	69.1185
12	27	4.6553	4.6569
12	28	0.6594	0.6596
12	29	0.0008	0.0008
12	30	0.152	0.152
12	31	0.1387	0.1387
12	32	0.0039	0.0039
12	33		
12	34		
12	35	0.0	0.0
12	36	0.0737	0.0737
12	37	0.0757	0.0757
12	38	0.1239	0.124
12	40	0.1138	0.1138
12	41	2.5894	2.5912
12	42	46.2495	46.2639
12	43	0.0219	0.0219
12	44	0.0004	0.0004
12	45	0.0563	0.0563
12	46	0.0236	0.0236
12	47	0.0	0.0
12	48	0.0032	0.0032
12	49	0.0304	0.0304
12	50	0.3913	0.3914
12	51	0.0023	0.0023
12	52	0.0	0.0
12	53	9.5245	9.5267
12	54	0.0068	0.0068
12	55	0.0006	0.0006
12	56	0.0041	0.0041
12	61	0.0003	0.0003
12	62	0.1449	0.1449
13	17	0.0	0.0
13	18	0.0	0.0
13	19	45.0793	45.0787
13	20	1797.1982	1797.327
13	21	0.0	0.0
13	22	126.413	126.3947
13	23	0.0986	0.0986
13	24	0.0	0.0
13	25	0.0006	0.0006
13	26	58.7155	58.7229
13	27	110.3893	110.3799
13	28	65.41	65.4063
13	29	0.0072	0.0072
13	30	0.0	0.0
13	31	0.0067	0.0067
13	32	7643.8725	7643.4849
13	33	0.0	0.0
13	34		
13	35	0.0	0.0
13	36	0.006	0.006
13	37	0.0186	0.0186
13	38	0.0031	0.0031
13	40	2.2312	2.2312
13	41	0.0	0.0
13	42	0.0	0.0
13	43	0.0024	0.0024
13	44	12.3016	12.3014
13	45	3.1363	3.1356
13	47	599.4457	599.391
13	48	0.1523	0.1519
13	49	15.5021	15.5028
13	50	4.4739	4.4734
13	52	0.0	0.0
13	53	0.0	0.0
13	54	0.0	0.0
13	55	0.0203	0.0203
13	56	0.3081	0.3081
13	57	2864.393	2864.1644
13	58	59.9141	59.9091
13	61	0.0742	0.0742
13	62	20.842	20.842
14	17	0.0	0.0
14	18	0.0	0.0
14	19	0.0	0.0
14	20	0.0	0.0
14	21	0.0	0.0
14	22	0.0015	0.0015
14	23	0.0006	0.0006
14	24	0.0	0.0
14	25	0.0	0.0
14	26	0.0004	0.0004
14	27	0.0001	0.0001
14	28	0.0486	0.0486
14	29	0.0	0.0
14	30	25.9537	25.95
14	31	0.0034	0.0034
14	32	0.0	0.0
14	33	0.0	0.0
14	34		
14	35	0.0	0.0
14	36	0.0	0.0
14	37	0.0061	0.0061
14	38	0.0269	0.0269
14	40	0.0039	0.0039
14	41	155.1671	155.1979
14	42	253.3424	253.3051
14	43	479.8673	479.8823
14	44	5.9821	5.982
14	45	1.4242	1.4239
14	47	123.0473	123.0317
14	48	4233.5816	4233.1639
14	49	0.0	0.0
14	50	0.0075	0.0075
14	52	0.0	0.0
14	53	56.5932	56.5838
14	54	475.6957	475.6228
14	55	1052.0385	1052.022
14	56	456.1995	456.2432
14	57	0.3365	0.3365
14	58	0.2236	0.2236
14	61	0.0	0.0
14	62	0.8716	0.8716
15	17	0.0	0.0
15	18	0.0	0.0
15	19	0.0186	0.0185
15	20	0.1881	0.1881
15	21	0.0	0.0
15	22	0.1997	0.1997
15	23	0.0034	0.0034
15	24	0.0	0.0
15	25	0.0	0.0
15	26	0.0612	0.0612
15	27	0.4545	0.4545
15	28	0.1209	0.1209
15	29	0.2653	0.2653
15	30	0.0081	0.0081
15	31	0.0257	0.0257
15	32	0.9467	0.9467
15	33	0.0	0.0
15	34	0.0	0.0
15	35	0.0212	0.0212
15	36	0.0016	0.0016
15	37	0.002	0.002
15	38	0.0088	0.0088
15	40	0.1352	0.1352
15	41	0.1905	0.1905
15	42	4.0492	4.0485
15	43	0.0282	0.0282
15	44	0.1087	0.1087
15	45	0.5211	0.521
15	47	1172.1509	1171.956
15	48	1.3291	1.3289
15	49	0.3486	0.3486
15	50	0.3027	0.3027
15	52	0.29	0.2899
15	53	0.5054	0.5054
15	54	2.0757	2.0753
15	55	1.6019	1.6019
15	56	0.2582	0.2582
15	57	1.5941	1.5939
15	58	0.0296	0.0296
15	61	0.1809	0.1809
15	62	0.3225	0.3225
16	17	0.0	0.0
16	18	0.0012	0.0012
16	19	0.0	0.0
16	20	0.001	0.001
16	21	0.0	0.0
16	22	3.0447	3.0447
16	23	1.3102	1.3103
16	24	0.0	0.0
16	25	0.0001	0.0001
16	26	0.0089	0.0089
16	27	0.1738	0.1738
16	28	0.0736	0.0736
16	29	0.6019	0.6019
16	30	0.0007	0.0007
16	31	14.2684	14.2699
16	32	0.8655	0.8654
16	33	0.0	0.0
16	34	0.0	0.0
16	35	0.0	0.0
16	36	0.0032	0.0032
16	37	0.3201	0.3201
16	38	0.6494	0.6495
16	40	4.1554	4.1551
16	41	0.0067	0.0067
16	42	0.2475	0.2475
16	43	6.7444	6.7444
16	44	2.0379	2.0379
16	47	32.6127	32.6189
16	48	0.0211	0.0211
16	49	12.8832	12.8827
16	50	3.141	3.1407
16	52	0.015	0.015
16	53	0.0034	0.0034
16	54	0.1798	0.1798
16	55	0.1846	0.1846
16	56	0.0692	0.0693
16	57	0.3501	0.3502
16	58	4.3795	4.3796
16	61	1.1395	1.1396
16	62	6.4767	6.4771
17	20	0.0	0.0
17	21	0.0026	0.0026
17	22	0.0	0.0
17	23	0.0	0.0
17	24	0.0013	0.0014
17	25	0.003	0.003
17	26	0.0	0.0
17	27	0.0	0.0
17	28	0.0006	0.0006
17	29	0.0	0.0
17	30	0.0	0.0
17	31	0.0	0.0
17	32	0.0	0.0
17	33		
17	34		
17	35	0.0	0.0
17	36	0.0	0.0
17	37	0.0012	0.0012
17	38	0.001	0.001
17	40	0.0	0.0
17	41	0.0	0.0
17	42	0.0	0.0
17	43	0.0	0.0
17	44	0.0	0.0
17	45	0.0	0.0
17	46	0.0	0.0
17	47	0.0	0.0
17	48	0.0	0.0
17	49	0.0	0.0
17	50	0.0	0.0
17	51	0.0	0.0
17	52	0.0	0.0
17	53	0.0	0.0
17	54	0.0	0.0
17	55	0.0	0.0
17	56	0.0	0.0
17	61	0.0	0.0
17	62	0.0003	0.0003
18	20	1.0531	1.053
18	21	247.2473	247.2815
18	22	0.1368	0.1368
18	23	7.7483	7.7484
18	24	15.7611	15.7622
18	25	96.7855	96.7762
18	26	22.1767	22.1767
18	27	1.0249	1.0249
18	28	1.4897	1.4898
18	29	0.0343	0.0343
18	30	0.0	0.0
18	31	0.0465	0.0465
18	32	0.7905	0.7905
18	33		
18	34		
18	35	0.0	0.0
18	36	0.0118	0.0118
18	37	0.0333	0.0333
18	38	0.0182	0.0182
18	40	0.0063	0.0063
18	41	0.0	0.0
18	42	0.0	0.0
18	43	0.6851	0.6851
18	44	0.0494	0.0494
18	45	0.4387	0.4387
18	46	0.0001	0.0001
18	47	0.0	0.0
18	48	0.0002	0.0002
18	49	0.0041	0.0041
18	50	0.0579	0.0579
18	51	0.038	0.038
18	52	0.1593	0.1593
18	53	0.0054	0.0054
18	54	0.0001	0.0001
18	55	0.0022	0.0022
18	56	0.0034	0.0034
18	61	0.0038	0.0038
18	62	0.2095	0.2095
19	20	0.0335	0.0335
19	21	12.6082	12.6175
19	22	0.0862	0.0862
19	23	2.4653	2.4661
19	24	7.0276	7.0314
19	25	2.7063	2.7066
19	26	13.6462	13.654
19	27	3.4548	3.4559
19	28	0.9369	0.9371
19	29	0.059	0.059
19	30	0.0031	0.0031
19	31	0.0036	0.0036
19	32	0.0	0.0
19	33	inf	inf
19	34		
19	35	0.0027	0.0027
19	36	0.1409	0.141
19	37	0.0259	0.026
19	38	0.019	0.019
19	40	0.05	0.05
19	41	0.0002	0.0002
19	42	0.0038	0.0038
19	43	0.0	0.0
19	44	0.0125	0.0125
19	45	0.0193	0.0193
19	46	0.0034	0.0034
19	47	0.0001	0.0001
19	48	0.0007	0.0007
19	49	0.0011	0.0011
19	50	0.0628	0.0628
19	51	0.0467	0.0467
19	52	0.1058	0.1059
19	53	0.0863	0.0864
19	54	0.0012	0.0012
19	55	0.0035	0.0035
19	61	0.0009	0.0009
19	62	0.0314	0.0314
20	21	3044.2301	3043.8671
20	22	0.084	0.084
20	23	0.0031	0.0031
20	24	0.0	0.0
20	25	13.1254	13.1253
20	29	0.0211	0.0211
20	30	0.0035	0.0035
20	31	0.0049	0.0049
20	32	0.04	0.04
20	33		
20	34		
20	35	0.0016	0.0016
20	36	0.4854	0.4856
20	37	0.1617	0.1617
20	38	0.0241	0.0241
20	40	0.0001	0.0001
20	41	0.0	0.0
20	42	0.0001	0.0001
20	43	0.1803	0.1804
20	44	0.0028	0.0028
20	45	0.0136	0.0136
20	46	0.0554	0.0554
20	47	0.2103	0.2104
20	48	0.002	0.002
20	49	0.01	0.01
20	50	0.0128	0.0128
20	51	0.0032	0.0032
20	52	0.1021	0.1022
20	53	5.0222	5.0239
20	54	8.9028	8.907
20	55	19.1693	19.1785
20	56	1.1654	1.166
20	57	0.3295	0.3296
20	58	0.1054	0.1055
20	59	0.2401	0.2402
20	61	9.2701	9.2719
20	62	0.1957	0.1957
21	22	0.0	0.0
21	23	0.0003	0.0003
21	29	0.0	0.0
21	30	0.0	0.0
21	31	0.0	0.0
21	32	0.0087	0.0087
21	33		
21	34		
21	35		
21	36	0.0	0.0
21	37	0.0025	0.0025
21	38	0.0044	0.0044
21	40	0.0	0.0
21	41	0.0	0.0
21	42	0.0	0.0
21	43	0.0	0.0
21	44	0.0215	0.0215
21	45	0.0003	0.0003
21	46	0.0	0.0
21	47	0.0	0.0
21	48	0.0001	0.0001
21	49	0.0	0.0
21	50	0.004	0.004
21	51	0.0	0.0
21	52	0.0	0.0
21	53	0.0	0.0
21	54	0.0	0.0
21	55	0.0045	0.0045
21	56	0.163	0.1631
21	57	0.1716	0.1717
21	58	0.0013	0.0013
21	59	0.0024	0.0024
21	61	2.7462	2.7475
21	62	0.0422	0.0422
22	23	0.0316	0.0316
22	24	6557.8366	6556.6012
22	29	3.7378	3.738
22	30	0.0002	0.0002
22	31	2.5537	2.5542
22	32	0.0007	0.0007
22	33		
22	34		
22	35	0.2218	0.2219
22	36	1.9138	1.9143
22	37	0.4094	0.4094
22	38	0.882	0.8821
22	40	1.2701	1.268
22	41	0.0415	0.0416
22	42	0.2115	0.2116
22	43	0.0095	0.0095
22	44	0.8504	0.8504
22	45	0.9626	0.9625
22	46	0.7112	0.7112
22	47	0.0001	0.0001
22	48	0.0118	0.0118
22	49	5.8707	5.8716
22	50	0.7402	0.7402
22	51	0.3584	0.3585
22	52	3.9893	3.9905
22	53	5.3807	5.3817
22	54	1.3274	1.3278
22	55	12.5126	12.5166
22	56	1.0145	1.015
22	57	0.3012	0.3013
22	58	0.087	0.087
22	59	3.7134	3.7141
22	61	0.0	0.0
22	62	0.8742	0.8744
23	24	298.3688	298.4071
23	25	1.525	1.5253
23	26	0.8073	0.8075
23	29	0.4887	0.4888
23	30	0.4376	0.4378
23	31	1.5921	1.5924
23	32	1.3169	1.3171
